,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'The Indian Express'}",Express News Service,"MP govt, Niti Aayog announce three-year action plan","The action plan is on four priority areas of physical infrastructure, governance, health and education, and employment.",https://indianexpress.com/article/india/mp-govt-niti-aayog-announce-3-year-action-plan-6547916/,https://images.indianexpress.com/2020/07/shivraj-759.jpg,2020-08-09T20:19:32Z,The exercise focuses on the use of technology to facilitate e- governance. (File)The Madhya Pradesh government and the Niti Aayog on Saturday announced a three-year action plan on four priority areas… [+2028 chars]
1,"{'id': None, 'name': 'Forbes'}","Peter Bendor-Samuel, Contributor, Peter Bendor-Samuel, Contributorhttps://www.forbes.com/sites/peterbendorsamuel/",Balance Sheet Clean-Up Efforts Drive New Opportunities,Three emerging trends demonstrate a big movement in companies taking steps to clean up their balance sheets and conserve cash in the economic crisis.,https://www.forbes.com/sites/peterbendorsamuel/2020/08/12/balance-sheet-clean-up-efforts-drive-new-opportunities/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5f33c5a6bb8d07c13510607b%2F0x0.jpg%3FcropX1%3D420%26cropX2%3D5646%26cropY1%3D0%26cropY2%3D2941,2020-08-12T10:37:36Z,"Balance Sheet Clean-Up Efforts Drive New Opportunities
getty
Companies take different approaches for survival in what now looks to be a protracted and difficult recession caused by the COVID-19 pan… [+3986 chars]"
2,"{'id': None, 'name': 'Seeking Alpha'}",SA Transcripts,"Kinaxis, Inc. (KXSCF) CEO John Sicard on Q2 2020 Results - Earnings Call Transcript","Kinaxis, Inc. (OTCPK:KXSCF) Q2 2020 Earnings Conference Call August 06, 2020, 08:30 ET Company Participants Rick Wadsworth - VP, IR John Sicard - CEO, President & Director Richard Monkman - CFO & VP, Corporate Services Conference Call Participants Thanos Mosc…",https://seekingalpha.com/article/4366544-kinaxis-inc-kxscf-ceo-john-sicard-on-q2-2020-results-earnings-call-transcript,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,2020-08-09T07:37:25Z,"Kinaxis, Inc. (OTCPK:KXSCF) Q2 2020 Earnings Conference Call August 6, 2020 8:30 AM ET
Company Participants
Rick Wadsworth - VP, IR
John Sicard - CEO, President &amp; Director
Richard Monkman - C… [+42815 chars]"
3,"{'id': None, 'name': 'Business Insider India'}",Prabhjote Gill,"India's armed forces are potential clients for TCS, Tech Mahindra, HCL Tech and the likes - Business Insider India","Indian IT companies like Tata Consultancy Services, Tech Mahindra, HCL Tech, and Wipro could help develop India’s defence technology ecosystem. Historically",https://www.businessinsider.in/defense/news/tcs-tech-mahindra-hcl-tech-and-wipro-could-gain-from/articleshow/77478306.cms,https://www.businessinsider.in/photo/77478306/tcs-tech-mahindra-hcl-tech-and-wipro-could-gain-from.jpg?imgsize=98031,2020-08-11T06:17:00Z,"Companies like Tata Consultancy Services (TCS
), HCL Technologies
, Tech Mahindra, and Wipro aren’t known to be the biggest players in defence — but they could be. The import ban on defence items a… [+3205 chars]"
4,"{'id': None, 'name': 'Yahoo Entertainment'}",PR Newswire,"Insights on the Smart Workplace Solutions and Integrated Workplace Management Systems Global Market to 2025 - Featuring AB Electrolux, ABB & AxxonSoft Among Others","The ""Smart Workplace Solutions and Integrated Workplace Management Systems by Technology, Connectivity, Applications, Device Type, Service Delivery Models, and Industry Verticals 2020 - 2025"" report has been added to ResearchAndMarkets.com's offering.",https://news.yahoo.com/insights-smart-workplace-solutions-integrated-164500580.html,https://s.yimg.com/uu/api/res/1.2/M.ZtJLKJavJmZ21BEYlWXg--~B/aD00Mjt3PTQwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/prnewswire.com/e75ef6f3096d7cb6f5dd43ba82eca2fe,2020-08-11T16:45:00Z,"DUBLIN, Aug. 11, 2020 /PRNewswire/ -- The ""Smart Workplace Solutions and Integrated Workplace Management Systems by Technology, Connectivity, Applications, Device Type, Service Delivery Models, and I… [+14966 chars]"
5,"{'id': None, 'name': 'Yahoo Entertainment'}",PR Newswire,Qualys Announces Second Quarter 2020 Financial Results,"Qualys, Inc. (NASDAQ: QLYS), a pioneer and leading provider of disruptive cloud-based IT, security and compliance solutions, today announced financial results for the second quarter ended June 30, 2020. For the quarter, the Company reported revenues of $88.8 …",https://news.yahoo.com/qualys-announces-second-quarter-2020-201500212.html,https://s.yimg.com/uu/api/res/1.2/bW_SGwCur25DMH7FGPVyLw--~B/aD0xNjt3PTE2O3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/51edaf22a49795c61306d5f7b824eebd,2020-08-10T20:15:00Z,"Revenue Growth of 13% Year-Over-Year
GAAP EPS: $0.64; Non-GAAP EPS: $0.74
Raises 2020 Revenue Guidance to $359-$360.5 million
Raises 2020 GAAP EPS Guidance to $1.78-$1.83
Raises 2020 Non-GAAP EPS… [+42855 chars]"
6,"{'id': None, 'name': 'Moneycontrol'}",,"As market valuations turn expensive, brokerages pick these 27 stocks","In muted earnings expectations for Q1FY21, beats were much higher than misses and that was one of major reasons and confidence booster for equity market not only in India but globally.",https://www.moneycontrol.com/news/business/markets/as-market-valuations-turn-expensive-brokerages-pick-these-27-stocks-5682731.html,https://images.moneycontrol.com/static-mcnews/2017/03/trader-stock-market-nse-bse-market-bull-bear-770x433.jpg,2020-08-12T08:34:13Z,The benchmark indices have given stellar 50 percent return each in just four months with Nifty Price-to-earnings ratio turning from negative 1 standard deviation (SD) in March 2020 to positive 1 stan… [+5977 chars]
7,"{'id': None, 'name': 'Moneycontrol'}",,"As market valuations turn expensive, brokerages pick 27 stocks","In muted earnings expectations for Q1FY21, beats were much higher than misses and that was one of major reasons and confidence booster for equity market not only in India but globally.",https://www.moneycontrol.com/news/business/markets/as-market-valuations-turn-expensive-brokerages-pick-these-27-stocks-5682731.html,https://images.moneycontrol.com/static-mcnews/2017/03/trader-stock-market-nse-bse-market-bull-bear-770x433.jpg,2020-08-12T08:34:13Z,The benchmark indices have given stellar 50 percent return each in just four months with Nifty Price-to-earnings ratio turning from negative 1 standard deviation (SD) in March 2020 to positive 1 stan… [+5977 chars]
8,"{'id': None, 'name': 'Business Wire'}",,CloudKnox Named Winner in 2020 Black Unicorn Awards for Cybersecurity Companies Who Have the Potential of Being Valued at $1B,"SUNNYVALE, Calif.--(BUSINESS WIRE)--As a Top 100 Cyber Security Startup, CloudKnox’s cloud security solutions are particularly in demand in today’s ever-evolving cyber ecosystem.",https://www.businesswire.com/news/home/20200811005243/en/CloudKnox-Named-Winner-2020-Black-Unicorn-Awards,http://www.businesswire.com/images/bwlogo_square.png,2020-08-11T13:09:55Z,"SUNNYVALE, Calif.--(BUSINESS WIRE)--CloudKnox Security, provider of the only cloud permissions management platform for hybrid and multi-cloud environments, today announced it was named a 2020 winner … [+4020 chars]"
9,"{'id': None, 'name': 'Business Wire'}",,Yugabyte Announces Second Annual Distributed SQL Summit,"SUNNYVALE, Calif.--(BUSINESS WIRE)--Yugabyte, the leader in open source distributed SQL databases, announced today that it will host the second annual Distributed SQL Summit on September 15-17, 2020 in a new, virtual format. This free event is dedicated to th…",https://www.businesswire.com/news/home/20200811005234/en/Yugabyte-Announces-Annual-Distributed-SQL-Summit,https://mms.businesswire.com/media/20200811005234/en/811938/23/ybDB_horizontal.jpg,2020-08-11T13:09:55Z,"SUNNYVALE, Calif.--(BUSINESS WIRE)--Yugabyte, the leader in open source distributed SQL databases, announced today that it will host the second annual Distributed SQL Summit on September 15-17, 2020 … [+3781 chars]"
